Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
1964,Józef Szmidt,POL,16.85,Male,"28 March 1935 in Michałkowice, Śląskie (POL)",184.0,77.0
1964,Oleg Fedoseyev,URS,16.58,Male,"4 June 1936 in Moskva (Moscow), Moskva (RUS)",186.0,82.0
1964,Viktor Kravchenko,URS,16.57,Male,"25 May 1941 in Rostov-na-Donu, Rostov (RUS)",172.0,65.0
1964,Fred Alsop,GBR,16.46,Male,"20 October 1938 in Plaistow, England (GBR)",183.0,75.0
1964,Șerban Ciochină,ROU,16.23,Male,"30 November 1939 in București (Bucharest), București (ROU)",178.0,65.0
1964,Manfred Hinze,GER,16.23,Male,"8 January 1933 in Gryfino, Zachodniopomorskie (POL)",172.0,70.0
1964,Georgi Stoykovski,BUL,16.21,Male,"10 May 1941 in Bata, Pazardzhik (BUL)",173.0,71.0
1964,Hans-Jürgen Rückborn,GER,16.09,Male,"8 October 1940 in Stendal, Sachsen-Anhalt (GER)",190.0,80.0
1964,Ira Davis,USA,16.29,Male,"25 September 1936 in Philadelphia, Pennsylvania (USA)",183.0,72.0
1964,Takayuki Okazaki,JPN,16.05,Male,"28 March 1940 in ?, Chiba (JPN)",168.0,57.0
1964,Bill Sharpe,USA,15.84,Male,"23 January 1932 in Philadelphia, Pennsylvania (USA)",182.0,76.0
1964,Jan Jaskólski,POL,16.1,Male,"28 October 1939 in Inowrocław, Kujawsko-Pomorskie (POL)",180.0,70.0
1964,Mansour Dia,SEN,15.84,Male,"27 December 1940 in Dakar, Dakar (SEN)",191.0,85.0
1964,Günter Krivec,GER,15.78,Male,"28 July 1942 in Moers, Nordrhein-Westfalen (GER)",175.0,67.0
1964,Ian Tomlinson,AUS,15.76,Male,"27 February 1936 in Perth, Western Australia (AUS)",187.0,70.0
1964,Vitold Kreyer,URS,15.71,Male,"12 November 1932 in Krasnodar, Krasnodar Kray (RUS)",180.0,70.0
1964,Koji Sakurai,JPN,15.59,Male,"18 February 1936 in Tokyo, Tokyo (JPN)",172.0,67.0
1964,Mike Ralph,GBR,15.57,Male,4 July 1938,173.0,63.0
1964,Henrik Kalocsai,HUN,15.53,Male,"28 November 1940 in Budapest, Budapest (HUN)",191.0,84.0
1964,Luis Felipe Areta,ESP,15.41,Male,"28 March 1942 in San Sebastián, Guipúzcoa (ESP)",188.0,78.0
1964,Kent Floerke,USA,15.36,Male,"16 January 1936 in Kansas City, Missouri (USA)",193.0,91.0
1964,George Ogan,NGR,15.35,Male,20 July 1938,173.0,63.0
1964,Aşkın Tuna,TUR,15.21,Male,"21 July 1940 in Manisa, Manisa (TUR)",183.0,77.0
1964,Christian Ohiri,NGR,15.08,Male,"19 June 1938 in Owerri, Imo (NGR)"
1964,Éric Battista,FRA,15.04,Male,"14 May 1933 in Sète, Hérault (FRA)",170.0,70.0
1964,Labh Singh,IND,14.95,Male,25 April 1939,173.0,54.0
1964,Lyuben Gurgushinov,BUL,14.75,Male,"2 November 1931 in Rila, Kyustendil (BUL)",172.0,68.0
1964,Marc Rabémila,MAD,14.62,Male,"27 April 1938 in Maroadabo, Alaotra Mangoro (MAD)",166.0,56.0
