Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
1996,Inesa Kravets,UKR,15.33,Female,"5 October 1966 in Dnipro, Dnipropetrovsk (UKR)",178.0,60.0
1996,Inna Lasovskaya,RUS,14.98,Female,"17 December 1969 in Moskva (Moscow), Moskva (RUS)",178.0,68.0
1996,Šárka Kašpárková,CZE,14.98,Female,"20 May 1971 in Karviná, Moravskoslezský kraj (CZE)",186.0,70.0
1996,Ashia Hansen,GBR,14.55,Female,"5 December 1971 in Evansville, Indiana (USA)",170.0,63.0
1996,Olga Vasdeki,GRE,14.48,Female,"26 September 1973 in Volos, Thessalia (GRE)",174.0,54.0
1996,Ren Ruiping,CHN,14.56,Female,"6 February 1976 in Laizhou, Shandong (CHN)",176.0,64.0
1996,Rodica Mateescu,ROU,14.22,Female,"13 March 1971 in București (Bucharest), București (ROU)",180.0,63.0
1996,Jeļena Blaževiča,LAT,14.24,Female,"11 May 1970 in Rīga, Rīga (LAT)",170.0,55.0
1996,Olena Hovorova,UKR,14.6,Female,"18 September 1973 in Izmail, Odesa (UKR)",175.0,63.0
1996,Sheila Hudson-Strudwick,USA,14.26,Female,"30 June 1967 in Kitzingen, Bayern (GER)",165.0,50.0
1996,Olena Khlusovych,UKR,14.38,Female,2 December 1969,188.0,67.0
1996,Anna Biryukova,RUS,14.19,Female,"27 September 1965 in Yekaterinburg, Sverdlovsk (RUS)",174.0,61.0
1996,Galina Čisťakovová,SVK,14.14,Female,"26 July 1962 in Izmail, Odesa (UKR)",169.0,53.0
1996,Virge Naeris,EST,14.0,Female,"12 December 1969 in Tallinn, Harjumaa (EST)",178.0,64.0
1996,Cynthea Rhodes,USA,13.95,Female,"30 September 1968 in Terrell, Texas (USA)",168.0,57.0
1996,Barbara Lah,ITA,13.74,Female,"24 March 1972 in Gorizia, Gorizia (ITA)",180.0,61.0
1996,Michelle Griffith,GBR,13.7,Female,"6 October 1971 in Wembley, England (GBR)",172.0,65.0
1996,Gundega Sproģe,LAT,13.67,Female,"12 February 1972 in Rīga, Rīga (LAT)",173.0,53.0
1996,Suzette Lee,JAM,13.65,Female,"6 March 1975 in Houston, Texas (USA)",181.0,71.0
1996,Nataliya Kayukova,RUS,13.54,Female,10 December 1966,175.0,66.0
1996,Maria de Souza,BRA,13.38,Female,"5 September 1971 in São José dos Quatro Marcos, Mato Grosso (BRA)",168.0,58.0
1996,Wang Xiangrong,CHN,13.32,Female,19 February 1972,172.0,60.0
1996,Heli Koivula,FIN,13.25,Female,"27 June 1975 in Kauhajoki, Etelä-Pohjanmaa (FIN)",175.0,60.0
1996,Nicola Martial,GUY,12.91,Female,13 May 1974,176.0,61.0
1996,Althea Gilharry,BIZ,12.78,Female,12 January 1970,173.0,63.0
1996,Chantal Ouoba,BUR,12.4,Female,2 September 1975,161.0,52.0
2000,Tereza Marinova,BUL,15.2,Female,"5 September 1977 in Pleven, Pleven (BUL)",173.0,56.0
2000,Tatyana Lebedeva,RUS,15.0,Female,"21 July 1976 in Sterlitamak, Respublika Bashkortostan (RUS)",170.0,61.0
2000,Olena Hovorova,UKR,14.96,Female,"18 September 1973 in Izmail, Odesa (UKR)",175.0,63.0
2000,Yamilé Aldama,CUB,14.3,Female,"14 August 1972 in Cerro, Ciudad de La Habana (CUB)",173.0,62.0
2000,Baya Rahouli,ALG,14.17,Female,"27 July 1979 in Bab el-Oued, Al-Jaza'ir (ALG)",179.0,64.0
2000,Cristina Nicolau,ROU,14.17,Female,"9 August 1977 in București (Bucharest), București (ROU)",184.0,66.0
2000,Olga Vasdeki,GRE,14.26,Female,"26 September 1973 in Volos, Thessalia (GRE)",174.0,54.0
2000,Oksana Rogova,RUS,14.25,Female,"7 October 1978 in Tambov, Tambov (RUS)",180.0,60.0
2000,Anja Valant,SLO,14.36,Female,"8 September 1977 in Celje, Celje (SLO)",183.0,64.0
2000,Françoise Mbango,CMR,14.13,Female,"14 April 1976 in Yaoundé, Centre (CMR)",172.0,63.0
2000,Ashia Hansen,GBR,14.29,Female,"5 December 1971 in Evansville, Indiana (USA)",170.0,63.0
2000,Šárka Kašpárková,CZE,14.34,Female,"20 May 1971 in Karviná, Moravskoslezský kraj (CZE)",186.0,70.0
2000,Viktoriya Brigadnaya,TKM,13.96,Female,4 August 1980,178.0,57.0
2000,Kène N'Doye,SEN,13.94,Female,20 November 1978,164.0,58.0
2000,Natallia Safronova,BLR,13.91,Female,"11 April 1974 in Brest, Brest (BLR)",173.0,61.0
2000,Mariya Dimitrova,BUL,13.87,Female,"7 August 1976 in Pleven, Pleven (BUL)",173.0,55.0
2000,Camilla Johansson,SWE,13.87,Female,"3 November 1976 in Växjö, Kronoberg (SWE)",168.0,54.0
2000,Carlota Castrejana,ESP,13.76,Female,"25 April 1973 in Logroño, La Rioja (ESP)",188.0,69.0
2000,Inna Lasovskaya,RUS,13.75,Female,"17 December 1969 in Moskva (Moscow), Moskva (RUS)",178.0,68.0
2000,Olena Khlusovych,UKR,13.6,Female,2 December 1969,188.0,67.0
2000,Yelena Parfyonova,KAZ,13.5,Female,"26 January 1974 in ?, Soltustyk Qazaqstan      (KAZ)",171.0,59.0
2000,Marija Martinović,SCG,13.49,Female,"17 April 1979 in Kragujevac, Šumadija (SRB)",173.0,59.0
2000,Keisha Spencer,JAM,13.49,Female,"16 February 1978 in ?, Manchester (JAM)",176.0,61.0
2000,Luciana dos Santos,BRA,13.48,Female,"10 February 1970 in Ilhéus, Bahia (BRA)",160.0,56.0
2000,Nicole Gamble,USA,13.33,Female,"21 June 1977 in Sumter, South Carolina (USA)",163.0,55.0
2000,Ren Ruiping,CHN,13.16,Female,"6 February 1976 in Laizhou, Shandong (CHN)",176.0,64.0
2000,Anna Tarasova,KAZ,13.11,Female,"23 March 1980 in Quaraghandy, Quaraghandy (KAZ)",175.0,60.0
2004,Françoise Mbango,CMR,15.3,Female,"14 April 1976 in Yaoundé, Centre (CMR)",172.0,63.0
2004,Pigi Devetzi,GRE,15.32,Female,"2 October 1975 in Alexandroupoli, Anatoliki Makedonia kai Thraki (GRE)",170.0,59.0
